flow_key,status,total_bytes,received_bytes,completion_percent,first_timestamp_ms,last_timestamp_ms,duration_ms,server_isn_set,buffered_packets,tcp_seqs_count,request_method,request_uri,request_host,request_user_agent,client_addr,client_port,server_addr,server_port,request_timestamp_ms,browser,attempt
completed_0,archived,1895,1895,100.00,1763218231037,1763218231038,1,true,0,0,GET,/gallery.html,127.0.0.1:8080,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36",127.0.0.1,40602,127.0.0.1,8080,1763218231037,Chrome,1
completed_1,archived,3027378,3027378,100.00,1763218231053,1763218231117,64,true,0,0,GET,/images/,127.0.0.1:8080,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36",127.0.0.1,40602,127.0.0.1,8080,1763218231053,Chrome,1
completed_2,archived,3052055,3052055,100.00,1763218231109,1763218231229,120,true,0,0,GET,/images/gen_0000004.jpg,127.0.0.1:8080,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36",127.0.0.1,40640,127.0.0.1,8080,1763218231109,Chrome,1
completed_3,archived,2936162,2936162,100.00,1763218231218,1763218231236,18,true,0,0,GET,/images/gen_0000043.jpg,127.0.0.1:8080,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36",127.0.0.1,40602,127.0.0.1,8080,1763218231218,Chrome,1
completed_4,archived,2983547,2983547,100.00,1763218231108,1763218231237,129,true,0,0,GET,/images/gen_0000001.jpg,127.0.0.1:8080,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36",127.0.0.1,40614,127.0.0.1,8080,1763218231108,Chrome,1
completed_5,archived,3031277,3031277,100.00,1763218231109,1763218231237,128,true,0,0,GET,/images/gen_0000002.jpg,127.0.0.1:8080,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36",127.0.0.1,40626,127.0.0.1,8080,1763218231109,Chrome,1
completed_6,archived,2904631,2904631,100.00,1763218231109,1763218231237,128,true,0,0,GET,/images/gen_0000005.jpg,127.0.0.1:8080,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36",127.0.0.1,40648,127.0.0.1,8080,1763218231109,Chrome,1
completed_7,archived,2993104,2993104,100.00,1763218231109,1763218231237,128,true,0,0,GET,/images/gen_0000003.jpg,127.0.0.1:8080,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36",127.0.0.1,40638,127.0.0.1,8080,1763218231109,Chrome,1
completed_8,archived,555,555,100.00,1763218231242,1763218231243,1,true,0,0,GET,/favicon.ico,127.0.0.1:8080,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36",127.0.0.1,40614,127.0.0.1,8080,1763218231242,Chrome,1
completed_9,archived,3014303,3014303,100.00,1763218231249,1763218231276,27,true,0,0,GET,/images/gen_0000050.jpg,127.0.0.1:8080,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36",127.0.0.1,40626,127.0.0.1,8080,1763218231249,Chrome,1
